codigo_comuna,nombre_comuna,ambito,n_denuncias
13101,SANTIAGO,ADMISIÓN,2
13101,SANTIAGO,CONVIVENCIA,72
13101,SANTIAGO,GESTIÓN TÉCNICO-ADMINISTRATIVA,3
13101,SANTIAGO,GESTIÓN TÉCNICO-PEDAGÓGICA,3
13101,SANTIAGO,SEGURIDAD E HIGIENE,3
13102,CERRILLOS,CONVIVENCIA,7
13102,CERRILLOS,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13103,CERRO NAVIA,CONVIVENCIA,7
13103,CERRO NAVIA,SEGURIDAD E HIGIENE,1
13104,CONCHALÍ,CONVIVENCIA,7
13104,CONCHALÍ,SEGURIDAD E HIGIENE,1
13105,EL BOSQUE,CONVIVENCIA,14
13105,EL BOSQUE,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
13105,EL BOSQUE,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13106,ESTACIÓN CENTRAL,ADMISIÓN,1
13106,ESTACIÓN CENTRAL,CONVIVENCIA,9
13106,ESTACIÓN CENTRAL,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13106,ESTACIÓN CENTRAL,SEGURIDAD E HIGIENE,1
13107,HUECHURABA,CONVIVENCIA,3
13108,INDEPENDENCIA,CONVIVENCIA,13
13109,LA CISTERNA,CONVIVENCIA,12
13109,LA CISTERNA,GESTIÓN DE RECURSOS FINANCIEROS,1
13109,LA CISTERNA,GESTIÓN TÉCNICO-PEDAGÓGICA,2
13109,LA CISTERNA,SEGURIDAD E HIGIENE,1
13110,LA FLORIDA,CONVIVENCIA,32
13110,LA FLORIDA,ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019,1
13110,LA FLORIDA,GESTIÓN TÉCNICO-ADMINISTRATIVA,4
13110,LA FLORIDA,GESTIÓN TÉCNICO-PEDAGÓGICA,4
13110,LA FLORIDA,INFRAESTRUCTURA,3
13110,LA FLORIDA,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13110,LA FLORIDA,SEGURIDAD E HIGIENE,3
13111,LA GRANJA,CONVIVENCIA,8
13112,LA PINTANA,CONVIVENCIA,6
13112,LA PINTANA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13113,LA REINA,CONVIVENCIA,7
13113,LA REINA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13114,LAS CONDES,ADMISIÓN,1
13114,LAS CONDES,CONVIVENCIA,20
13114,LAS CONDES,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13114,LAS CONDES,SEGURIDAD E HIGIENE,1
13115,LO BARNECHEA,CONVIVENCIA,3
13115,LO BARNECHEA,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13115,LO BARNECHEA,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13117,LO PRADO,CONVIVENCIA,5
13117,LO PRADO,GESTIÓN TÉCNICO-PEDAGÓGICA,1
13118,MACUL,CONVIVENCIA,11
13118,MACUL,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13119,MAIPÚ,ADMISIÓN,4
13119,MAIPÚ,CONVIVENCIA,51
13119,MAIPÚ,GESTIÓN TÉCNICO-ADMINISTRATIVA,2
13119,MAIPÚ,GESTIÓN TÉCNICO-PEDAGÓGICA,2
13119,MAIPÚ,INFRAESTRUCTURA,1
13119,MAIPÚ,"MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA",1
13119,MAIPÚ,SEGURIDAD E HIGIENE,2
13120,ÑUÑOA,ADMISIÓN,3
13120,ÑUÑOA,CONVIVENCIA,25
13120,ÑUÑOA,GESTIÓN TÉCNICO-PEDAGÓGICA,2
13120,ÑUÑOA,INFRAESTRUCTURA,3
13120,ÑUÑOA,SEGURIDAD E HIGIENE,2
