codigo_comuna,nombre_comuna,TipoEstablecimiento,n_estudiantes,promedio
13101,SANTIAGO,Corporación de Administración Delegada,2230,5
13101,SANTIAGO,Municipal,6313,5.4
13101,SANTIAGO,Particular Pagado,1250,5.7
13101,SANTIAGO,Particular Subvencionado,5991,5.4
13102,CERRILLOS,Municipal,101,4.8
13102,CERRILLOS,Particular Subvencionado,1211,5.2
13103,CERRO NAVIA,Particular Subvencionado,662,5.1
13103,CERRO NAVIA,Servicio Local de Educación,292,4.8
13104,CONCHALÍ,Municipal,600,4.9
13104,CONCHALÍ,Particular Subvencionado,864,5.1
13105,EL BOSQUE,Municipal,384,5
13105,EL BOSQUE,Particular Pagado,95,5.9
13105,EL BOSQUE,Particular Subvencionado,3128,5.3
13106,ESTACIÓN CENTRAL,Corporación de Administración Delegada,281,4.9
13106,ESTACIÓN CENTRAL,Municipal,589,5
13106,ESTACIÓN CENTRAL,Particular Pagado,158,5.6
13106,ESTACIÓN CENTRAL,Particular Subvencionado,1660,5.4
13107,HUECHURABA,Municipal,125,4.8
13107,HUECHURABA,Particular Pagado,874,5.9
13107,HUECHURABA,Particular Subvencionado,354,5
13108,INDEPENDENCIA,Municipal,580,5.4
13108,INDEPENDENCIA,Particular Pagado,138,5.9
13108,INDEPENDENCIA,Particular Subvencionado,1800,5.1
13109,LA CISTERNA,Corporación de Administración Delegada,382,5
13109,LA CISTERNA,Municipal,613,4.9
13109,LA CISTERNA,Particular Pagado,47,5.9
13109,LA CISTERNA,Particular Subvencionado,4372,5.1
13110,LA FLORIDA,Municipal,1308,4.9
13110,LA FLORIDA,Particular Pagado,954,5.8
13110,LA FLORIDA,Particular Subvencionado,6859,5.3
13111,LA GRANJA,Particular Subvencionado,1258,5.3
13111,LA GRANJA,Servicio Local de Educación,372,4.5
13112,LA PINTANA,Municipal,301,4.8
13112,LA PINTANA,Particular Subvencionado,3338,5
13113,LA REINA,Municipal,461,5
13113,LA REINA,Particular Pagado,1555,6
13113,LA REINA,Particular Subvencionado,658,5.4
13114,LAS CONDES,Municipal,923,5.2
13114,LAS CONDES,Particular Pagado,4503,5.9
13114,LAS CONDES,Particular Subvencionado,942,5.3
13115,LO BARNECHEA,Municipal,234,5.4
13115,LO BARNECHEA,Particular Pagado,2074,6
13115,LO BARNECHEA,Particular Subvencionado,491,5.1
13116,LO ESPEJO,Municipal,158,4.7
13116,LO ESPEJO,Particular Subvencionado,607,5
13117,LO PRADO,Particular Subvencionado,243,5.4
13117,LO PRADO,Servicio Local de Educación,534,5
13118,MACUL,Particular Pagado,174,5.7
13118,MACUL,Particular Subvencionado,1082,5.5
13118,MACUL,Servicio Local de Educación,279,5.2
13119,MAIPÚ,Corporación de Administración Delegada,366,5.1
13119,MAIPÚ,Municipal,2051,5.3
13119,MAIPÚ,Particular Pagado,452,5.7
13119,MAIPÚ,Particular Subvencionado,10229,5.3
13120,ÑUÑOA,Corporación de Administración Delegada,1757,5.1
13120,ÑUÑOA,Municipal,2018,5.2
13120,ÑUÑOA,Particular Pagado,1755,5.9
13120,ÑUÑOA,Particular Subvencionado,1544,5.2
13121,PEDRO AGUIRRE CERDA,Corporación de Administración Delegada,329,4.7
13121,PEDRO AGUIRRE CERDA,Municipal,158,4.9
13121,PEDRO AGUIRRE CERDA,Particular Subvencionado,634,5.1
13122,PEÑALOLÉN,Municipal,900,5
13122,PEÑALOLÉN,Particular Pagado,1630,5.5
13122,PEÑALOLÉN,Particular Subvencionado,1769,5.3
13123,PROVIDENCIA,Municipal,2896,5.6
13123,PROVIDENCIA,Particular Pagado,1875,5.9
13123,PROVIDENCIA,Particular Subvencionado,1097,5.7
13124,PUDAHUEL,Particular Pagado,182,5.7
13124,PUDAHUEL,Particular Subvencionado,2315,5.1
13124,PUDAHUEL,Servicio Local de Educación,427,5.1
13125,QUILICURA,Municipal,752,5
13125,QUILICURA,Particular Pagado,350,5.8
13125,QUILICURA,Particular Subvencionado,4262,5.2
13126,QUINTA NORMAL,Corporación de Administración Delegada,776,4.9
13126,QUINTA NORMAL,Municipal,923,4.8
13126,QUINTA NORMAL,Particular Subvencionado,1733,5.2
13127,RECOLETA,Corporación de Administración Delegada,1544,4.8
13127,RECOLETA,Municipal,966,5.3
13127,RECOLETA,Particular Pagado,185,5.7
13127,RECOLETA,Particular Subvencionado,1834,5.4
13128,RENCA,Corporación de Administración Delegada,411,5.1
13128,RENCA,Municipal,619,5.4
13128,RENCA,Particular Subvencionado,1953,5.2
13129,SAN JOAQUÍN,Corporación de Administración Delegada,473,4.8
13129,SAN JOAQUÍN,Particular Subvencionado,372,5.4
13129,SAN JOAQUÍN,Servicio Local de Educación,110,4.9
13130,SAN MIGUEL,Corporación de Administración Delegada,963,5.2
13130,SAN MIGUEL,Municipal,426,5.2
13130,SAN MIGUEL,Particular Pagado,306,5.7
13130,SAN MIGUEL,Particular Subvencionado,2639,5.2
13131,SAN RAMÓN,Corporación de Administración Delegada,161,4.8
13131,SAN RAMÓN,Municipal,262,4.9
13131,SAN RAMÓN,Particular Subvencionado,1030,5.1
13132,VITACURA,Municipal,330,5.7
13132,VITACURA,Particular Pagado,2386,5.7
13132,VITACURA,Particular Subvencionado,73,5.7
