codigo_comuna,nombre_comuna,TipoEstablecimiento,n_estudiantes,promedio
13101,SANTIAGO,Corporación de Administración Delegada,2167,5.1
13101,SANTIAGO,Municipal,6003,5.4
13101,SANTIAGO,Particular Pagado,1244,5.8
13101,SANTIAGO,Particular Subvencionado,6364,5.4
13102,CERRILLOS,Municipal,102,5.1
13102,CERRILLOS,Particular Subvencionado,1204,5.2
13103,CERRO NAVIA,Particular Subvencionado,676,5.3
13103,CERRO NAVIA,Servicio Local de Educación,305,5.1
13104,CONCHALÍ,Municipal,605,5
13104,CONCHALÍ,Particular Subvencionado,888,5.4
13105,EL BOSQUE,Municipal,387,5.2
13105,EL BOSQUE,Particular Pagado,102,5.6
13105,EL BOSQUE,Particular Subvencionado,3139,5.2
13106,ESTACIÓN CENTRAL,Corporación de Administración Delegada,308,5.3
13106,ESTACIÓN CENTRAL,Municipal,565,5.4
13106,ESTACIÓN CENTRAL,Particular Pagado,169,5.8
13106,ESTACIÓN CENTRAL,Particular Subvencionado,1680,5.5
13107,HUECHURABA,Municipal,140,5.1
13107,HUECHURABA,Particular Pagado,956,5.9
13107,HUECHURABA,Particular Subvencionado,373,5.2
13108,INDEPENDENCIA,Municipal,603,5.2
13108,INDEPENDENCIA,Particular Pagado,152,5.7
13108,INDEPENDENCIA,Particular Subvencionado,1584,5.4
13109,LA CISTERNA,Corporación de Administración Delegada,351,4.8
13109,LA CISTERNA,Municipal,631,5
13109,LA CISTERNA,Particular Pagado,41,5.4
13109,LA CISTERNA,Particular Subvencionado,4225,5.3
13110,LA FLORIDA,Municipal,1308,5.1
13110,LA FLORIDA,Particular Pagado,898,5.9
13110,LA FLORIDA,Particular Subvencionado,6615,5.4
13111,LA GRANJA,Particular Subvencionado,1331,5.3
13111,LA GRANJA,Servicio Local de Educación,404,5.2
13112,LA PINTANA,Municipal,309,5.3
13112,LA PINTANA,Particular Subvencionado,3406,5.2
13113,LA REINA,Municipal,501,5.2
13113,LA REINA,Particular Pagado,1526,5.9
13113,LA REINA,Particular Subvencionado,651,5.2
13114,LAS CONDES,Municipal,935,5.4
13114,LAS CONDES,Particular Pagado,4522,5.8
13114,LAS CONDES,Particular Subvencionado,933,5.4
13115,LO BARNECHEA,Municipal,203,4.9
13115,LO BARNECHEA,Particular Pagado,2134,5.9
13115,LO BARNECHEA,Particular Subvencionado,508,5.1
13116,LO ESPEJO,Municipal,181,4.7
13116,LO ESPEJO,Particular Subvencionado,637,5.1
13117,LO PRADO,Particular Subvencionado,250,5.7
13117,LO PRADO,Servicio Local de Educación,547,5
13118,MACUL,Particular Pagado,186,5.4
13118,MACUL,Particular Subvencionado,1123,5.6
13118,MACUL,Servicio Local de Educación,261,5.5
13119,MAIPÚ,Corporación de Administración Delegada,345,4.9
13119,MAIPÚ,Municipal,2015,5.4
13119,MAIPÚ,Particular Pagado,462,5.6
13119,MAIPÚ,Particular Subvencionado,10359,5.3
13120,ÑUÑOA,Corporación de Administración Delegada,1728,5.2
13120,ÑUÑOA,Municipal,2029,5.2
13120,ÑUÑOA,Particular Pagado,1809,5.8
13120,ÑUÑOA,Particular Subvencionado,1434,5.2
13121,PEDRO AGUIRRE CERDA,Corporación de Administración Delegada,338,4.8
13121,PEDRO AGUIRRE CERDA,Municipal,180,5.1
13121,PEDRO AGUIRRE CERDA,Particular Subvencionado,643,5.2
13122,PEÑALOLÉN,Municipal,902,5
13122,PEÑALOLÉN,Particular Pagado,1672,5.7
13122,PEÑALOLÉN,Particular Subvencionado,1795,5.4
13123,PROVIDENCIA,Municipal,2726,5.5
13123,PROVIDENCIA,Particular Pagado,1868,5.9
13123,PROVIDENCIA,Particular Subvencionado,1076,5.5
13124,PUDAHUEL,Particular Pagado,202,5.8
13124,PUDAHUEL,Particular Subvencionado,2357,5.2
13124,PUDAHUEL,Servicio Local de Educación,438,5.1
13125,QUILICURA,Municipal,812,5.2
13125,QUILICURA,Particular Pagado,369,5.8
13125,QUILICURA,Particular Subvencionado,4364,5.3
13126,QUINTA NORMAL,Corporación de Administración Delegada,762,4.9
13126,QUINTA NORMAL,Municipal,936,5.2
13126,QUINTA NORMAL,Particular Subvencionado,1761,5.3
13127,RECOLETA,Corporación de Administración Delegada,1557,4.9
13127,RECOLETA,Municipal,1033,5.3
13127,RECOLETA,Particular Pagado,195,5.5
13127,RECOLETA,Particular Subvencionado,1807,5.5
13128,RENCA,Corporación de Administración Delegada,392,5.2
13128,RENCA,Municipal,610,5.4
13128,RENCA,Particular Subvencionado,2026,5.3
13129,SAN JOAQUÍN,Corporación de Administración Delegada,485,5.1
13129,SAN JOAQUÍN,Particular Subvencionado,371,5.3
13129,SAN JOAQUÍN,Servicio Local de Educación,108,5.2
13130,SAN MIGUEL,Corporación de Administración Delegada,911,5.4
13130,SAN MIGUEL,Municipal,428,5.3
13130,SAN MIGUEL,Particular Pagado,322,5.4
13130,SAN MIGUEL,Particular Subvencionado,2581,5.4
13131,SAN RAMÓN,Corporación de Administración Delegada,188,4.8
13131,SAN RAMÓN,Municipal,249,4.9
13131,SAN RAMÓN,Particular Subvencionado,1139,5.3
13132,VITACURA,Municipal,334,5.7
13132,VITACURA,Particular Pagado,2360,5.8
13132,VITACURA,Particular Subvencionado,73,5.4
